ref,piece,max,min,geo_point_2d,surface,price_per_m2
27.3,2,32.8,19.1,"48.84194019337512, 2.356893889624744",20.0,40.95
31.0,2,37.2,21.7,"48.87354738020911, 2.332268868869704",20.0,46.5
30.4,2,36.5,21.3,"48.87354738020911, 2.332268868869704",20.0,45.6
24.2,2,29.0,16.9,"48.88766108880349, 2.3744682121256666",20.0,36.3
26.4,3,31.7,18.5,"48.88073523727109, 2.35747081044636",30.0,26.4
21.5,4,25.8,15.1,"48.83031704260011, 2.315304931573413",40.0,16.125
25.3,3,30.4,17.7,"48.85852137232379, 2.3516669671389687",30.0,25.3
29.2,2,35.0,20.4,"48.83373367612219, 2.3476730460658106",20.0,43.8
26.0,4,31.2,18.2,"48.88504369140323, 2.302909824651906",40.0,19.5
26.6,3,31.9,18.6,"48.86065013520993, 2.3349103292801994",30.0,26.6
24.5,4,29.4,17.2,"48.83906040108164, 2.2780763469189345",40.0,18.375
22.9,4,27.5,16.0,"48.89555577457166, 2.384777229270242",40.0,17.175
24.6,4,29.52,17.22,"48.830359242366505, 2.428826815083849",40.0,18.45
37.6,1,45.12,26.32,"48.874135575605415, 2.3041188097211407",10.0,112.80000000000001
24.5,4,29.4,17.15,"48.87993433878255, 2.3328501965554715",40.0,18.375
23.0,4,27.6,16.1,"48.85706404083103, 2.380364061726767",40.0,17.25
30.8,2,36.96,21.56,"48.86327454383974, 2.259935831704838",20.0,46.2
22.6,4,27.12,15.82,"48.8379956461218, 2.4331784419569793",40.0,16.950000000000003
28.8,2,34.56,20.16,"48.82312780567426, 2.352433149542824",20.0,43.199999999999996
31.6,1,37.92,22.12,"48.83429362836976, 2.296919974448867",10.0,94.80000000000001
30.0,1,36.0,21.0,"48.88163816729657, 2.3954401666237373",10.0,90.0
21.8,2,26.16,15.26,"48.88163816729657, 2.3954401666237373",20.0,32.7
23.0,4,27.6,16.1,"48.85209650697998, 2.3887648336025635",40.0,17.25
26.4,2,31.68,18.48,"48.86371948395739, 2.395272820760115",20.0,39.599999999999994
27.2,1,32.64,19.04,"48.86371948395739, 2.395272820760115",10.0,81.6
26.0,3,31.2,18.2,"48.86388739200144, 2.363123300986952",30.0,26.0
29.0,4,34.8,20.3,"48.851585175021285, 2.3647679538731117",40.0,21.75
32.6,2,39.12,22.82,"48.85528871996157, 2.3336568680904577",20.0,48.900000000000006
26.2,3,31.44,18.34,"48.874135575605415, 2.3041188097211407",30.0,26.2
21.9,3,26.28,15.33,"48.8379956461218, 2.4331784419569793",30.0,21.9
30.4,2,36.48,21.28,"48.851585175021285, 2.3647679538731117",20.0,45.6
