ref,piece,max,min,geo_point_2d,surface,price_per_m2,district
23.5,3,28.2,16.5,"48.8376230959726, 2.331783822887114",30.0,23.5,14
27.0,2,32.4,18.9,"48.868008337402706, 2.3446991274274604",20.0,40.5,2
24.3,4,29.16,17.01,"48.8949426537908, 2.321118743705154",40.0,18.225,17
26.3,4,31.56,18.41,"48.85209650697998, 2.3887648336025635",40.0,19.724999999999998,11
22.6,4,27.12,15.82,"48.87863907572485, 2.380127281829295",40.0,16.950000000000003,19
24.5,2,29.4,17.2,"48.830359242366505, 2.428826815083849",20.0,36.75,12
25.4,3,30.5,17.8,"48.86388739200144, 2.363123300986952",30.0,25.4,3
22.9,4,27.5,16.0,"48.87103473909125, 2.406171530151038",40.0,17.175,20
33.3,1,40.0,23.3,"48.88117755028415, 2.289963738115156",10.0,99.89999999999999,17
29.0,2,34.8,20.3,"48.84194019337512, 2.356893889624744",20.0,43.5,5
21.8,4,26.16,15.26,"48.87153120058614, 2.3875492398498035",40.0,16.35,20
25.1,4,30.1,17.6,"48.8949426537908, 2.321118743705154",40.0,18.825000000000003,17
26.7,4,32.0,18.7,"48.851585175021285, 2.3647679538731117",40.0,20.025,4
28.8,2,34.56,20.16,"48.83031704260011, 2.315304931573413",20.0,43.199999999999996,14
29.4,4,35.3,20.6,"48.867018590627694, 2.328581664931248",40.0,22.05,1
24.5,4,29.4,17.2,"48.823452771575106, 2.337070179863054",40.0,18.375,14
22.4,3,26.9,15.7,"48.876008290020586, 2.36812301788768",30.0,22.4,10
22.9,4,27.5,16.0,"48.8379956461218, 2.4331784419569793",40.0,17.175,12
37.5,1,45.0,26.3,"48.859192412713874, 2.3632050573309638",10.0,112.5,3
17.0,4,20.4,11.9,"48.82752745777257, 2.3723977369189355",40.0,12.75,13
27.0,2,32.4,18.9,"48.87124465089237, 2.3615036473450113",20.0,40.5,10
28.0,3,33.6,19.6,"48.850171655497846, 2.291852642697574",30.0,28.0,15
28.6,2,34.32,20.02,"48.86065013520993, 2.3349103292801994",20.0,42.900000000000006,1
20.3,3,24.4,14.2,"48.87103473909125, 2.406171530151038",30.0,20.3,20
26.7,3,32.04,18.69,"48.86228910809422, 2.3448988583110166",30.0,26.7,1
26.2,3,31.4,18.3,"48.82665262554388, 2.3264369992249008",30.0,26.2,14
36.3,1,43.56,25.41,"48.86065013520993, 2.3349103292801994",10.0,108.89999999999999,1
27.9,2,33.48,19.53,"48.86228910809422, 2.3448988583110166",20.0,41.85,1
28.8,1,34.6,20.2,"48.8379956461218, 2.4331784419569793",10.0,86.39999999999999,12
31.9,2,38.28,22.33,"48.86465997810256, 2.3363089189653063",20.0,47.85,1
36.7,1,44.0,25.7,"48.85035926154756, 2.3110309362657557",10.0,110.10000000000001,7
25.9,4,31.08,18.13,"48.867018590627694, 2.328581664931248",40.0,19.424999999999997,1
36.0,1,43.2,25.2,"48.869306638088744, 2.3334318076581146",10.0,108.0,2
19.9,4,23.9,13.9,"48.88163816729657, 2.3954401666237373",40.0,14.924999999999999,19
30.7,3,36.84,21.49,"48.867018590627694, 2.328581664931248",30.0,30.699999999999996,1
34.2,1,41.04,23.94,"48.86910019977125, 2.3394607437483312",10.0,102.60000000000001,2
27.3,4,32.8,19.1,"48.850622342726865, 2.252276907538065",40.0,20.475,16
31.8,1,38.2,22.3,"48.83031704260011, 2.315304931573413",10.0,95.4,14
34.2,1,41.04,23.94,"48.868008337402706, 2.3446991274274604",10.0,102.60000000000001,2
26.0,4,31.2,18.2,"48.86910019977125, 2.3394607437483312",40.0,19.5,2
25.8,2,30.96,18.06,"48.868008337402706, 2.3446991274274604",20.0,38.7,2
37.1,1,44.5,26.0,"48.85526326937375, 2.3255876525808024",10.0,111.3,7
27.2,3,32.64,19.04,"48.8671501183107, 2.3500801904088187",30.0,27.2,2
25.8,2,30.96,18.06,"48.8671501183107, 2.3500801904088187",20.0,38.7,2
28.3,3,33.96,19.81,"48.8671501183107, 2.3500801904088187",30.0,28.3,2
32.5,1,39.0,22.8,"48.83373367612219, 2.3476730460658106",10.0,97.5,13
28.3,3,33.96,19.81,"48.86647028948414, 2.3570831310567835",30.0,28.3,3
24.3,3,29.16,17.01,"48.859192412713874, 2.3632050573309638",30.0,24.3,3
32.1,1,38.52,22.47,"48.859192412713874, 2.3632050573309638",10.0,96.3,3
21.1,2,25.3,14.8,"48.854760283035255, 2.407430328235969",20.0,31.650000000000006,20
25.3,3,30.4,17.7,"48.869306638088744, 2.3334318076581146",30.0,25.3,2
25.4,3,30.5,17.8,"48.8671501183107, 2.3500801904088187",30.0,25.4,2
31.0,2,37.2,21.7,"48.852895586218004, 2.3527750121216795",20.0,46.5,4
26.0,3,31.2,18.2,"48.84766363545046, 2.354093153377686",30.0,26.0,5
27.7,3,33.24,19.39,"48.852895586218004, 2.3527750121216795",30.0,27.7,4
33.6,1,40.3,23.5,"48.87814767585099, 2.3171746113048903",10.0,100.80000000000001,8
25.1,4,30.12,17.57,"48.852895586218004, 2.3527750121216795",40.0,18.825000000000003,4
31.0,2,37.2,21.7,"48.869306638088744, 2.3334318076581146",20.0,46.5,2
25.1,3,30.1,17.6,"48.86740319007272, 2.3729648249267643",30.0,25.1,11
27.2,3,32.64,19.04,"48.862557245043206, 2.354851518245669",30.0,27.2,3
30.1,2,36.1,21.1,"48.88504369140323, 2.302909824651906",20.0,45.150000000000006,17
29.7,3,35.64,20.79,"48.85035926154756, 2.3110309362657557",30.0,29.7,7
32.7,1,39.2,22.9,"48.850622342726865, 2.252276907538065",10.0,98.10000000000001,16
28.5,1,34.2,20.0,"48.87124465089237, 2.3615036473450113",10.0,85.5,10
26.0,4,31.2,18.2,"48.8490447659431, 2.3457466001872485",40.0,19.5,5
34.8,1,41.8,24.4,"48.85571865089275, 2.358162333852766",10.0,104.39999999999999,4
29.6,4,35.52,20.72,"48.847800629292664, 2.3363388275876775",40.0,22.2,6
35.3,1,42.36,24.71,"48.85829990387876, 2.3015415556941874",10.0,105.89999999999999,7
35.9,1,43.08,25.13,"48.85035926154756, 2.3110309362657557",10.0,107.69999999999999,7
33.8,4,40.56,23.66,"48.85035926154756, 2.3110309362657557",40.0,25.349999999999998,7
19.5,3,23.4,13.7,"48.894012169582226, 2.3643867790293243",30.0,19.5,18
22.7,3,27.2,15.9,"48.87124465089237, 2.3615036473450113",30.0,22.7,10
24.5,3,29.4,17.15,"48.85528871996157, 2.3336568680904577",30.0,24.5,6
25.0,3,30.0,17.5,"48.888481513920595, 2.313856169006357",30.0,25.0,17
31.5,1,37.8,22.05,"48.87361766097465, 2.352282894951218",10.0,94.5,10
30.4,2,36.5,21.3,"48.874135575605415, 2.3041188097211407",20.0,45.6,8
25.2,2,30.2,17.6,"48.89213818760241, 2.355536163296278",20.0,37.8,18
30.2,2,36.24,21.14,"48.85829990387876, 2.3015415556941874",20.0,45.3,7
31.5,1,37.8,22.05,"48.867074492185395, 2.3086516846814",10.0,94.5,8
24.2,2,29.04,16.94,"48.83740588522813, 2.3633186351497177",20.0,36.3,13
33.6,1,40.3,23.5,"48.871765634282355, 2.2719177404675657",10.0,100.80000000000001,16
26.2,2,31.44,18.34,"48.830359242366505, 2.428826815083849",20.0,39.300000000000004,12
25.8,4,31.0,18.1,"48.85528871996157, 2.3336568680904577",40.0,19.35,6
37.1,1,44.5,26.0,"48.858514966137854, 2.3164447403399206",10.0,111.3,7
24.4,4,29.28,17.08,"48.85706404083103, 2.380364061726767",40.0,18.3,11
30.2,2,36.24,21.14,"48.87354738020911, 2.332268868869704",20.0,45.3,9
26.3,3,31.56,18.41,"48.85209650697998, 2.3887648336025635",30.0,26.3,11
29.7,3,35.64,20.79,"48.85829990387876, 2.3015415556941874",30.0,29.7,7
37.6,1,45.12,26.32,"48.87354738020911, 2.332268868869704",10.0,112.80000000000001,9
35.1,1,42.1,24.6,"48.869306638088744, 2.3334318076581146",10.0,105.30000000000001,2
25.8,3,30.96,18.06,"48.87361766097465, 2.352282894951218",30.0,25.8,10
37.1,1,44.52,25.97,"48.85829990387876, 2.3015415556941874",10.0,111.3,7
24.6,3,29.52,17.22,"48.823452771575106, 2.337070179863054",30.0,24.6,14
27.0,2,32.4,18.9,"48.87124465089237, 2.3615036473450113",20.0,40.5,10
28.5,2,34.2,19.95,"48.85209650697998, 2.3887648336025635",20.0,42.75,11
24.6,4,29.52,17.22,"48.89257777114592, 2.334363089913081",40.0,18.45,18
22.9,3,27.48,16.03,"48.88073523727109, 2.35747081044636",30.0,22.9,10
33.4,1,40.08,23.38,"48.86327454383974, 2.259935831704838",10.0,100.19999999999999,16
27.0,1,32.4,18.9,"48.85706404083103, 2.380364061726767",10.0,81.0,11
32.4,1,38.88,22.68,"48.89213818760241, 2.355536163296278",10.0,97.19999999999999,18
25.2,2,30.24,17.64,"48.85209650697998, 2.3887648336025635",20.0,37.8,11
28.1,1,33.72,19.67,"48.8379956461218, 2.4331784419569793",10.0,84.3,12
27.7,3,33.24,19.39,"48.867074492185395, 2.3086516846814",30.0,27.7,8
28.6,2,34.32,20.02,"48.88504369140323, 2.302909824651906",20.0,42.900000000000006,17
34.9,1,41.88,24.43,"48.859192412713874, 2.3632050573309638",10.0,104.69999999999999,3
32.9,1,39.48,23.03,"48.88073523727109, 2.35747081044636",10.0,98.7,10
36.0,1,43.2,25.2,"48.862557245043206, 2.354851518245669",10.0,108.0,3
39.3,1,47.16,27.51,"48.85829990387876, 2.3015415556941874",10.0,117.89999999999999,7
25.1,4,30.12,17.57,"48.847800629292664, 2.3363388275876775",40.0,18.825000000000003,6
27.0,1,32.4,18.9,"48.876008290020586, 2.36812301788768",10.0,81.0,10
24.5,4,29.4,17.15,"48.83373367612219, 2.3476730460658106",40.0,18.375,13
28.1,2,33.72,19.67,"48.88117755028415, 2.289963738115156",20.0,42.15,17
27.9,4,33.48,19.53,"48.8490447659431, 2.3457466001872485",40.0,20.925,5
28.7,1,34.44,20.09,"48.823452771575106, 2.337070179863054",10.0,86.10000000000001,14
25.7,3,30.84,17.99,"48.83031704260011, 2.315304931573413",30.0,25.7,14
28.5,3,34.2,19.95,"48.867074492185395, 2.3086516846814",30.0,28.5,8
20.3,3,24.36,14.21,"48.82752745777257, 2.3723977369189355",30.0,20.3,13
26.8,2,32.16,18.76,"48.8376230959726, 2.331783822887114",20.0,40.2,14
22.8,4,27.4,16.0,"48.86234502354463, 2.376118055918989",40.0,17.1,11
28.6,3,34.32,20.02,"48.86843361445447, 2.2916790427412166",30.0,28.6,16
26.1,2,31.32,18.27,"48.84766363545046, 2.354093153377686",20.0,39.150000000000006,5
27.2,3,32.64,19.04,"48.86843361445447, 2.2916790427412166",30.0,27.2,16
25.4,4,30.48,17.78,"48.85438440363996, 2.340035371130514",40.0,19.05,6
24.9,4,29.88,17.43,"48.888481513920595, 2.313856169006357",40.0,18.674999999999997,17
25.4,2,30.48,17.78,"48.83031704260011, 2.315304931573413",20.0,38.1,14
35.1,1,42.1,24.6,"48.858514966137854, 2.3164447403399206",10.0,105.30000000000001,7
28.0,2,33.6,19.6,"48.82665262554388, 2.3264369992249008",20.0,42.0,14
22.5,4,27.0,15.75,"48.83031704260011, 2.315304931573413",40.0,16.875,14
27.9,4,33.48,19.53,"48.86647028948414, 2.3570831310567835",40.0,20.925,3
28.7,3,34.44,20.09,"48.862557245043206, 2.354851518245669",30.0,28.7,3
31.2,1,37.44,21.84,"48.86843361445447, 2.2916790427412166",10.0,93.60000000000001,16
25.1,3,30.12,17.57,"48.86647028948414, 2.3570831310567835",30.0,25.1,3
33.8,1,40.56,23.66,"48.82312780567426, 2.352433149542824",10.0,101.39999999999999,13
27.2,1,32.64,19.04,"48.8379956461218, 2.4331784419569793",10.0,81.6,12
33.2,1,39.84,23.24,"48.86327454383974, 2.259935831704838",10.0,99.60000000000001,16
26.8,2,32.16,18.76,"48.850171655497846, 2.291852642697574",20.0,40.2,15
33.2,1,39.84,23.24,"48.871765634282355, 2.2719177404675657",10.0,99.60000000000001,16
20.7,2,24.84,14.49,"48.88163816729657, 2.3954401666237373",20.0,31.049999999999997,19
35.9,1,43.08,25.13,"48.86465997810256, 2.3363089189653063",10.0,107.69999999999999,1
26.3,1,31.56,18.41,"48.854760283035255, 2.407430328235969",10.0,78.89999999999999,20
24.6,2,29.52,17.22,"48.83031704260011, 2.315304931573413",20.0,36.9,14
25.4,4,30.48,17.78,"48.869306638088744, 2.3334318076581146",40.0,19.05,2
25.2,4,30.24,17.64,"48.86465997810256, 2.3363089189653063",40.0,18.9,1
27.0,1,32.4,18.9,"48.82312780567426, 2.352433149542824",10.0,81.0,13
26.7,2,32.0,18.7,"48.86388739200144, 2.363123300986952",20.0,40.05,3
21.8,2,26.16,15.26,"48.86371948395739, 2.395272820760115",20.0,32.7,20
29.6,3,35.5,20.7,"48.87814767585099, 2.3171746113048903",30.0,29.6,8
31.1,3,37.3,21.8,"48.858514966137854, 2.3164447403399206",30.0,31.099999999999998,7
24.3,3,29.2,17.0,"48.86465997810256, 2.3363089189653063",30.0,24.3,1
27.5,4,33.0,19.3,"48.859192412713874, 2.3632050573309638",40.0,20.625,3
25.0,3,30.0,17.5,"48.82665262554388, 2.3264369992249008",30.0,25.0,14
26.6,3,31.9,18.6,"48.85438440363996, 2.340035371130514",30.0,26.6,6
20.9,3,25.08,14.63,"48.86371948395739, 2.395272820760115",30.0,20.9,20
29.5,4,35.4,20.65,"48.86065013520993, 2.3349103292801994",40.0,22.125,1
19.8,4,23.76,13.86,"48.86371948395739, 2.395272820760115",40.0,14.85,20
25.9,1,31.08,18.13,"48.88766108880349, 2.3744682121256666",10.0,77.69999999999999,19
28.5,3,34.2,19.95,"48.851585175021285, 2.3647679538731117",30.0,28.5,4
26.9,1,32.28,18.83,"48.89166759106752, 2.3459787545931863",10.0,80.7,18
26.3,4,31.56,18.41,"48.84194019337512, 2.356893889624744",40.0,19.724999999999998,5
29.7,1,35.64,20.79,"48.86740319007272, 2.3729648249267643",10.0,89.1,11
28.7,4,34.4,20.1,"48.867018590627694, 2.328581664931248",40.0,21.525000000000002,1
27.3,4,32.76,19.11,"48.87814767585099, 2.3171746113048903",40.0,20.475,8
24.9,2,29.88,17.43,"48.89257777114592, 2.334363089913081",20.0,37.349999999999994,18
23.6,3,28.32,16.52,"48.89213818760241, 2.355536163296278",30.0,23.6,18
27.8,3,33.36,19.46,"48.871765634282355, 2.2719177404675657",30.0,27.8,16
29.4,1,35.28,20.58,"48.88163816729657, 2.3954401666237373",10.0,88.2,19
21.9,3,26.28,15.33,"48.86371948395739, 2.395272820760115",30.0,21.9,20
27.1,3,32.5,19.0,"48.85438440363996, 2.340035371130514",30.0,27.1,6
29.0,2,34.8,20.3,"48.87981191977869, 2.3448612910024424",20.0,43.5,9
32.8,1,39.4,23.0,"48.8376230959726, 2.331783822887114",10.0,98.39999999999999,14
26.3,2,31.56,18.41,"48.8490447659431, 2.3457466001872485",20.0,39.449999999999996,5
26.9,2,32.28,18.83,"48.83906040108164, 2.2780763469189345",20.0,40.35,15
26.0,3,31.2,18.2,"48.862557245043206, 2.354851518245669",30.0,26.0,3
31.5,2,37.8,22.1,"48.85528871996157, 2.3336568680904577",20.0,47.25,6
24.9,3,29.9,17.4,"48.82665262554388, 2.3264369992249008",30.0,24.9,14
30.6,3,36.72,21.42,"48.84642759400415, 2.327356878234607",30.0,30.6,6
29.4,4,35.28,20.58,"48.87814767585099, 2.3171746113048903",40.0,22.05,8
20.7,2,24.84,14.49,"48.87103473909125, 2.406171530151038",20.0,31.049999999999997,20
24.3,4,29.16,17.01,"48.87153120058614, 2.3875492398498035",40.0,18.225,20
28.0,1,33.6,19.6,"48.89257777114592, 2.334363089913081",10.0,84.0,18
38.1,1,45.7,26.7,"48.85035926154756, 2.3110309362657557",10.0,114.3,7
21.0,4,25.2,14.7,"48.88163816729657, 2.3954401666237373",40.0,15.75,19
25.1,3,30.12,17.57,"48.86388739200144, 2.363123300986952",30.0,25.1,3
29.9,2,35.9,20.9,"48.88117755028415, 2.289963738115156",20.0,44.849999999999994,17
32.9,1,39.48,23.03,"48.85528871996157, 2.3336568680904577",10.0,98.7,6
26.1,2,31.32,18.27,"48.86647028948414, 2.3570831310567835",20.0,39.150000000000006,3
31.5,2,37.8,22.1,"48.852895586218004, 2.3527750121216795",20.0,47.25,4
23.4,4,28.1,16.4,"48.854760283035255, 2.407430328235969",40.0,17.549999999999997,20
29.6,3,35.5,20.7,"48.852895586218004, 2.3527750121216795",30.0,29.6,4
23.0,3,27.6,16.1,"48.83031704260011, 2.315304931573413",30.0,23.0,14
33.7,2,40.4,23.6,"48.85526326937375, 2.3255876525808024",20.0,50.550000000000004,7
27.6,2,33.1,19.3,"48.85571865089275, 2.358162333852766",20.0,41.400000000000006,4
23.0,2,27.6,16.1,"48.87863907572485, 2.380127281829295",20.0,34.5,19
24.1,3,28.9,16.9,"48.87993433878255, 2.3328501965554715",30.0,24.1,9
26.3,4,31.56,18.41,"48.847800629292664, 2.3363388275876775",40.0,19.724999999999998,6
25.2,2,30.2,17.6,"48.87863907572485, 2.380127281829295",20.0,37.8,19
27.2,4,32.6,19.0,"48.852895586218004, 2.3527750121216795",40.0,20.4,4
33.7,1,40.4,23.6,"48.8949426537908, 2.321118743705154",10.0,101.10000000000001,17
37.1,1,44.52,25.97,"48.85035926154756, 2.3110309362657557",10.0,111.3,7
24.3,3,29.2,17.0,"48.85209650697998, 2.3887648336025635",30.0,24.3,11
20.7,2,24.84,14.49,"48.854760283035255, 2.407430328235969",20.0,31.049999999999997,20
27.8,2,33.36,19.46,"48.89213818760241, 2.355536163296278",20.0,41.7,18
25.5,2,30.6,17.85,"48.87103473909125, 2.406171530151038",20.0,38.25,20
32.3,3,38.8,22.6,"48.847800629292664, 2.3363388275876775",30.0,32.3,6
29.8,2,35.8,20.9,"48.85829990387876, 2.3015415556941874",20.0,44.7,7
27.5,4,33.0,19.3,"48.86647028948414, 2.3570831310567835",40.0,20.625,3
21.1,3,25.3,14.8,"48.87153120058614, 2.3875492398498035",30.0,21.1,20
27.5,4,33.0,19.3,"48.862557245043206, 2.354851518245669",40.0,20.625,3
31.7,3,38.0,22.2,"48.84642759400415, 2.327356878234607",30.0,31.7,6
25.7,2,30.84,17.99,"48.8376230959726, 2.331783822887114",20.0,38.55,14
32.3,2,38.8,22.6,"48.86327454383974, 2.259935831704838",20.0,48.449999999999996,16
31.9,1,38.3,22.3,"48.83373367612219, 2.3476730460658106",10.0,95.7,13
27.5,4,33.0,19.3,"48.8671501183107, 2.3500801904088187",40.0,20.625,2
31.2,2,37.44,21.84,"48.85829990387876, 2.3015415556941874",20.0,46.800000000000004,7
30.4,2,36.5,21.3,"48.88073523727109, 2.35747081044636",20.0,45.6,10
29.6,3,35.5,20.7,"48.84642759400415, 2.327356878234607",30.0,29.6,6
27.9,3,33.48,19.53,"48.87814767585099, 2.3171746113048903",30.0,27.9,8
34.7,1,41.6,24.3,"48.852895586218004, 2.3527750121216795",10.0,104.10000000000001,4
17.3,4,20.8,12.1,"48.87103473909125, 2.406171530151038",40.0,12.975,20
25.4,4,30.48,17.78,"48.85852137232379, 2.3516669671389687",40.0,19.05,4
31.2,3,37.44,21.84,"48.847800629292664, 2.3363388275876775",30.0,31.200000000000003,6
27.2,4,32.6,19.0,"48.87126549302095, 2.320053028649194",40.0,20.4,8
24.6,2,29.5,17.2,"48.82752745777257, 2.3723977369189355",20.0,36.9,13
24.0,1,28.8,16.8,"48.88766108880349, 2.3744682121256666",10.0,72.0,19
29.3,4,35.2,20.5,"48.871765634282355, 2.2719177404675657",40.0,21.975,16
26.1,4,31.32,18.27,"48.85528871996157, 2.3336568680904577",40.0,19.575000000000003,6
33.8,1,40.56,23.66,"48.86647028948414, 2.3570831310567835",10.0,101.39999999999999,3
23.1,2,27.7,16.2,"48.88163816729657, 2.3954401666237373",20.0,34.65,19
31.1,2,37.32,21.77,"48.87814767585099, 2.3171746113048903",20.0,46.650000000000006,8
26.1,4,31.32,18.27,"48.85571865089275, 2.358162333852766",40.0,19.575000000000003,4
24.4,2,29.3,17.1,"48.86371948395739, 2.395272820760115",20.0,36.6,20
25.5,3,30.6,17.9,"48.87153120058614, 2.3875492398498035",30.0,25.5,20
25.0,2,30.0,17.5,"48.88073523727109, 2.35747081044636",20.0,37.5,10
26.2,4,31.44,18.34,"48.859192412713874, 2.3632050573309638",40.0,19.650000000000002,3
22.9,3,27.5,16.0,"48.87124465089237, 2.3615036473450113",30.0,22.9,10
27.9,2,33.5,19.5,"48.873934691758095, 2.343252579473346",20.0,41.85,9
22.9,3,27.5,16.0,"48.87153120058614, 2.3875492398498035",30.0,22.9,20
30.1,2,36.1,21.1,"48.85852137232379, 2.3516669671389687",20.0,45.150000000000006,4
30.8,3,37.0,21.6,"48.858514966137854, 2.3164447403399206",30.0,30.799999999999997,7
26.4,2,31.68,18.48,"48.835209049865114, 2.3862100842120184",20.0,39.599999999999994,12
25.4,2,30.48,17.78,"48.823452771575106, 2.337070179863054",20.0,38.1,14
29.0,4,34.8,20.3,"48.85852137232379, 2.3516669671389687",40.0,21.75,4
32.2,2,38.64,22.54,"48.851585175021285, 2.3647679538731117",20.0,48.300000000000004,4
24.1,3,28.9,16.9,"48.88073523727109, 2.35747081044636",30.0,24.1,10
36.8,1,44.2,25.8,"48.859192412713874, 2.3632050573309638",10.0,110.39999999999999,3
26.0,3,31.2,18.2,"48.867018590627694, 2.328581664931248",30.0,26.0,1
37.2,1,44.64,26.04,"48.874135575605415, 2.3041188097211407",10.0,111.60000000000001,8
19.8,3,23.76,13.86,"48.87103473909125, 2.406171530151038",30.0,19.8,20
27.2,2,32.6,19.0,"48.86388739200144, 2.363123300986952",20.0,40.8,3
27.3,2,32.8,19.1,"48.82665262554388, 2.3264369992249008",20.0,40.95,14
28.5,3,34.2,19.95,"48.84766363545046, 2.354093153377686",30.0,28.5,5
34.7,1,41.6,24.3,"48.86465997810256, 2.3363089189653063",10.0,104.10000000000001,1
31.5,2,37.8,22.1,"48.87354738020911, 2.332268868869704",20.0,47.25,9
32.9,1,39.5,23.0,"48.859192412713874, 2.3632050573309638",10.0,98.7,3
33.7,1,40.4,23.6,"48.8671501183107, 2.3500801904088187",10.0,101.10000000000001,2
28.3,1,34.0,19.8,"48.82312780567426, 2.352433149542824",10.0,84.9,13
22.9,3,27.5,16.0,"48.86740319007272, 2.3729648249267643",30.0,22.9,11
23.1,3,27.7,16.2,"48.89213818760241, 2.355536163296278",30.0,23.1,18
33.9,2,40.7,23.7,"48.867074492185395, 2.3086516846814",20.0,50.849999999999994,8
33.7,2,40.4,23.6,"48.84642759400415, 2.327356878234607",20.0,50.550000000000004,6
29.8,4,35.8,20.9,"48.858514966137854, 2.3164447403399206",40.0,22.35,7
21.1,4,25.3,14.8,"48.87863907572485, 2.380127281829295",40.0,15.825000000000003,19
28.7,2,34.44,20.09,"48.87814767585099, 2.3171746113048903",20.0,43.050000000000004,8
28.0,3,33.6,19.6,"48.850622342726865, 2.252276907538065",30.0,28.0,16
27.9,2,33.5,19.5,"48.88073523727109, 2.35747081044636",20.0,41.85,10
27.7,1,33.24,19.39,"48.89213818760241, 2.355536163296278",10.0,83.1,18
27.2,4,32.6,19.0,"48.85852137232379, 2.3516669671389687",40.0,20.4,4
27.0,3,32.4,18.9,"48.86910019977125, 2.3394607437483312",30.0,27.0,2
35.4,1,42.48,24.78,"48.869306638088744, 2.3334318076581146",10.0,106.2,2
27.2,2,32.6,19.0,"48.85571865089275, 2.358162333852766",20.0,40.8,4
31.6,1,37.9,22.1,"48.86234502354463, 2.376118055918989",10.0,94.80000000000001,11
24.5,2,29.4,17.15,"48.83740588522813, 2.3633186351497177",20.0,36.75,13
26.6,2,31.9,18.6,"48.86234502354463, 2.376118055918989",20.0,39.900000000000006,11
22.3,3,26.8,15.6,"48.88163816729657, 2.3954401666237373",30.0,22.3,19
25.8,3,30.96,18.06,"48.83906040108164, 2.2780763469189345",30.0,25.8,15
24.8,3,29.76,17.36,"48.87126549302095, 2.320053028649194",30.0,24.8,8
38.8,1,46.6,27.2,"48.847800629292664, 2.3363388275876775",10.0,116.39999999999999,6
37.2,1,44.64,26.04,"48.87126549302095, 2.320053028649194",10.0,111.60000000000001,8
25.5,2,30.6,17.9,"48.89257777114592, 2.334363089913081",20.0,38.25,18
22.2,4,26.64,15.54,"48.89213818760241, 2.355536163296278",40.0,16.65,18
20.1,3,24.1,14.1,"48.82752745777257, 2.3723977369189355",30.0,20.1,13
23.0,4,27.6,16.1,"48.873934691758095, 2.343252579473346",40.0,17.25,9
27.2,4,32.6,19.0,"48.867074492185395, 2.3086516846814",40.0,20.4,8
30.4,2,36.48,21.28,"48.867018590627694, 2.328581664931248",20.0,45.6,1
24.6,2,29.5,17.2,"48.854760283035255, 2.407430328235969",20.0,36.9,20
30.8,1,37.0,21.6,"48.84691594405347, 2.374401626479208",10.0,92.4,12
30.9,1,37.08,21.63,"48.86228910809422, 2.3448988583110166",10.0,92.69999999999999,1
34.0,2,40.8,23.8,"48.85829990387876, 2.3015415556941874",20.0,51.0,7
28.5,3,34.2,19.95,"48.88504369140323, 2.302909824651906",30.0,28.5,17
23.1,2,27.7,16.2,"48.87103473909125, 2.406171530151038",20.0,34.65,20
24.7,1,29.6,17.3,"48.88766108880349, 2.3744682121256666",10.0,74.1,19
31.9,1,38.3,22.3,"48.83031704260011, 2.315304931573413",10.0,95.7,14
20.7,2,24.84,14.49,"48.82752745777257, 2.3723977369189355",20.0,31.049999999999997,13
25.8,2,31.0,18.1,"48.85706404083103, 2.380364061726767",20.0,38.7,11
26.8,2,32.16,18.76,"48.83906040108164, 2.2780763469189345",20.0,40.2,15
23.0,4,27.6,16.1,"48.82665262554388, 2.3264369992249008",40.0,17.25,14
29.3,3,35.2,20.5,"48.84766363545046, 2.354093153377686",30.0,29.3,5
39.3,1,47.16,27.51,"48.84642759400415, 2.327356878234607",10.0,117.89999999999999,6
23.7,2,28.44,16.59,"48.87103473909125, 2.406171530151038",20.0,35.550000000000004,20
25.0,2,30.0,17.5,"48.894012169582226, 2.3643867790293243",20.0,37.5,18
37.6,1,45.12,26.32,"48.85528871996157, 2.3336568680904577",10.0,112.80000000000001,6
37.6,1,45.12,26.32,"48.85035926154756, 2.3110309362657557",10.0,112.80000000000001,7
22.7,4,27.24,15.89,"48.88766108880349, 2.3744682121256666",40.0,17.025,19
27.3,3,32.76,19.11,"48.871765634282355, 2.2719177404675657",30.0,27.3,16
21.6,2,25.92,15.12,"48.89555577457166, 2.384777229270242",20.0,32.400000000000006,19
27.1,4,32.52,18.97,"48.84271125032415, 2.3107774536393966",40.0,20.325,15
27.8,3,33.36,19.46,"48.868008337402706, 2.3446991274274604",30.0,27.8,2
24.0,1,28.8,16.8,"48.88766108880349, 2.3744682121256666",10.0,72.0,19
20.2,2,24.24,14.14,"48.894012169582226, 2.3643867790293243",20.0,30.3,18
27.2,2,32.6,19.0,"48.868008337402706, 2.3446991274274604",20.0,40.8,2
23.1,3,27.7,16.2,"48.84691594405347, 2.374401626479208",30.0,23.1,12
32.8,1,39.4,23.0,"48.87814767585099, 2.3171746113048903",10.0,98.39999999999999,8
23.9,2,28.68,16.73,"48.8379956461218, 2.4331784419569793",20.0,35.849999999999994,12
33.8,1,40.56,23.66,"48.873934691758095, 2.343252579473346",10.0,101.39999999999999,9
22.4,3,26.88,15.68,"48.86740319007272, 2.3729648249267643",30.0,22.4,11
26.9,2,32.28,18.83,"48.830359242366505, 2.428826815083849",20.0,40.35,12
24.1,3,28.9,16.9,"48.873934691758095, 2.343252579473346",30.0,24.1,9
32.1,1,38.52,22.47,"48.85571865089275, 2.358162333852766",10.0,96.3,4
26.6,3,31.9,18.6,"48.88504369140323, 2.302909824651906",30.0,26.6,17
